YEAR,P,SWANPOP,P.1D,SWANPOP.1D
1986,7000,130,,
1989,7000,122,0,-8
1993,7000,139,0,17
1996,3500,253,-3500,114
1999,3500,242,0,-11
2002,2100,348,-1400,106
2005,4200,307,2100,-41
2008,5600,282,1400,-25
2011,6300,170,700,-112
