id,name,is_open,type,address,longitude,latitude
71,Loudoun Brewing Co,TRUE,Micro Brewery,"310 East Market Street, Leesburg, VA 20176-4101",-77.558997,39.112764
72,Mad Fox Brewing Co,TRUE,Brewpub,"444 W Broad St Ste I, Falls Church, VA 22046-3362",-77.1766162,38.886658
73,Mad Horse Brewpub,TRUE,Brewpub,"34 E Broad Way, Lovettsville, VA 20180-8617",-77.6359232,39.2716957
74,Mad Science Brewing Company,TRUE,Micro Brewery,"1619 Buckeystown Pike, Adamstown, MD 21710-8714",-77.4634411,39.2780438
75,Maltese Brewing Company,TRUE,Micro Brewery,"11047 Pierson Dr. Unit B, Fredericksburg, VA 22408",-77.436615,38.2607731
76,Manor Hill Brewing,TRUE,Micro Brewery,"4411 Manor Ln, Ellicott City, MD 21042-6111",-76.886718,39.250841
77,Milkhouse Brewery at Stillpoint Farm,TRUE,Micro Brewery,"8253 Dollyhyde Rd, Mount Airy, MD 21771-9404",-77.225512,39.460262
78,Mud Hound Brewing Co / MacDowell Brew Kitchen,TRUE,Brewpub,"202B Harrison St SE, Leesburg, VA 20175-3701",-77.5624333,39.1125277
79,Mully's Brewery,TRUE,Micro Brewery,"141 Schooner Ln Ste 15, Prince Frederick, MD 20678-3482",-76.647938,38.510411
80,New Columbia Distillers,TRUE,Micro Distillery,"1832 Fenwick St NE, Washington, DC 20002",-76.9843996,38.9136832
81,New District Brewing Company,TRUE,Micro Brewery,"2709 S Oakland St, Arlington, VA 22206",-77.089884,38.843715
82,Ocelot Brewing,TRUE,Micro Brewery,"23600 Overland Dr Ste 180, Sterling, VA 20166-4441",-77.4992517,38.9629988
83,Old 690 Brewing Co,TRUE,Micro Brewery,"15670 Ashbury Church Rd, Purcellville, VA 20132",-77.72646,39.183927
84,Old Bust Head Brewing Co.,TRUE,Micro Brewery,"7134 Lineweaver Rd, Warrenton, VA 20187-3949",-77.6755087,38.7439089
85,Old Ox Brewery LLC,TRUE,Micro Brewery,"44652 Guilford Dr Ste 114, Ashburn, VA 20147-6006",-77.4553148,39.0238995
86,Oliver Brewing Company,TRUE,Micro Brewery,"4216 Shannon Dr., Baltimore, MD 21213",-76.553206,39.314814
87,One Eight,TRUE,Micro Distillery,"1135 Okie St NE, Washington, DC 20002",-76.988882,38.913086
88,Ornery Beer Company,TRUE,Brewpub,"14389 Potomac Mills Rd, Woodbridge, VA 22192-6806",-77.2930204,38.6364871
89,Peabody Heights Brewery,TRUE,Micro Brewery,"401 E 30th St, Baltimore, MD 21218-3935",-76.610422,39.324338
